"t","Periodo","DDD","Populacao","DDDhab","DDD1000hab_dia","Resistencia_Amoxicilina.Clavulanato.k"
"1",2008-01-01,1314096,19509000,0.06735845,2.245281665,0.440836941
"2",2008-02-01,1811745,19509000,0.092867138,3.095571275,0.43261944
"3",2008-03-01,1992210,19509000,0.102117484,3.403916141,0.456007569
"4",2008-04-01,2056872,19509000,0.105431954,3.514398483,0.469314079
"5",2008-05-01,2121767,19509000,0.108758368,3.625278931,0.477362205
"6",2008-06-01,2163513,19509000,0.110898201,3.696606694,0.489178976
"7",2008-07-01,1742185,19509000,0.089301604,2.976720146,0.479973073
"8",2008-08-01,1896730,19509000,0.097223333,3.240777761,0.480050665
"9",2008-09-01,1888088,19509000,0.096780358,3.226011926,0.488904544
"10",2008-10-01,2779067,19509000,0.14245051,4.748350334,0.465006729
"11",2008-11-01,1728531,19509000,0.088601722,2.953390743,0.440539581
"12",2008-12-01,1404122,19509000,0.071973038,2.399101269,0.451287229
"13",2009-01-01,1266574,19653000,0.064446853,2.14822843,0.450741351
"14",2009-02-01,1819102,19653000,0.092561034,3.085367798,0.452859351
"15",2009-03-01,1786311,19653000,0.090892535,3.029751183,0.462210095
"16",2009-04-01,1928744,19653000,0.098139928,3.271330925,0.448186528
"17",2009-05-01,2090813,19653000,0.106386455,3.546215166,0.459004654
"18",2009-06-01,2520572,19653000,0.128253803,4.275126783,0.463643178
"19",2009-07-01,2275271,19653000,0.115772198,3.859073254,0.46686747
"20",2009-08-01,2095039,19653000,0.106601486,3.553382859,0.474721781
"21",2009-09-01,2088996,19653000,0.106294001,3.543133364,0.488747061
"22",2009-10-01,1758231,19653000,0.089463746,2.982124866,0.462223689
"23",2009-11-01,1659282,19653000,0.084428942,2.814298072,0.484263959
"24",2009-12-01,1497828,19653000,0.076213708,2.540456928,0.463312369
"25",2010-01-01,1769607,19683975,0.089900897,2.996696551,0.499475708
"26",2010-02-01,2152623,19683975,0.109359161,3.645305382,0.486924035
"27",2010-03-01,1922528,19683975,0.097669703,3.25565678,0.492596811
"28",2010-04-01,2205431,19683975,0.112041953,3.734731764,0.480829667
"29",2010-05-01,2558125,19683975,0.129959777,4.331992564,0.52192846
"30",2010-06-01,2256125,19683975,0.114617347,3.820578245,0.478708304
