epidemiological_week,date,order_for_place,last_available_confirmed,new_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
202122,2021-06-05,467,797603,3257,6471.30212,31187,195,0.0391,12325232,-19,39,7,-7,7,7
202122,2021-06-04,466,794346,1083,6444.87666,30992,14,0.039,12325232,-28,37,5,-20,-16,13
202122,2021-06-03,465,793263,3499,6436.0898,30978,90,0.0391,12325232,-28,30,13,-36,-36,17
202122,2021-06-02,464,789764,6573,6407.70089,30888,292,0.0391,12325232,-28,29,-5,-19,-13,12
202122,2021-05-31,462,783191,996,6354.37126,30596,20,0.0391,12325232,-33,23,-29,-24,-14,13
202122,2021-05-30,461,782195,1520,6346.29028,30576,10,0.0391,12325232,-34,19,-26,-25,6,9
202121,2021-05-29,460,780675,2125,6333.95785,30566,90,0.0392,12325232,-22,33,-9,-9,8,8
202121,2021-05-28,459,778550,431,6316.7168,30476,136,0.0391,12325232,-30,31,1,-17,-9,12
202121,2021-05-27,458,778119,2318,6313.21991,30340,148,0.039,12325232,-31,29,-9,-21,-14,12
202121,2021-05-26,457,775801,3298,6294.41296,30192,109,0.0389,12325232,-34,21,-11,-22,-15,13
202121,2021-05-25,456,772503,2737,6267.65484,30083,203,0.0389,12325232,-34,20,-21,-23,-15,13
202121,2021-05-24,455,769766,898,6245.44836,29880,14,0.0388,12325232,-34,19,-19,-22,-16,13
202121,2021-05-23,454,768868,914,6238.16249,29866,10,0.0388,12325232,-34,18,-19,-22,6,9
202120,2021-05-22,453,767954,3164,6230.74681,29856,89,0.0389,12325232,-29,23,-41,-16,2,10
202120,2021-05-21,452,764790,2904,6205.0759,29767,118,0.0389,12325232,-31,29,0,-17,-11,12
202120,2021-05-20,451,761886,3067,6181.51447,29649,131,0.0389,12325232,-30,33,-9,-22,-15,12
